stop_lat,stop_code,stop_serial_number,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.470251,2442,1518,-157.844524,2442,http://hea.thebus.org/nextbus.asp?s=2442,,,KAMEHAMEHA HWY + OPP PULAMA RD,0,
21.472972,2443,1519,-157.844503,2443,http://hea.thebus.org/nextbus.asp?s=2443,,,KAMEHAMEHA HWY + OPP KAIMALOLO PL,0,
21.465601,2440,1516,-157.843473,2440,http://hea.thebus.org/nextbus.asp?s=2440,,,KAMEHAMEHA HWY + 47-705,0,
21.466766,2441,1517,-157.843595,2441,http://hea.thebus.org/nextbus.asp?s=2441,,,KAMEHAMEHA HWY + NUKUWAI PL,0,
21.48462,2446,1522,-157.847598,2446,http://hea.thebus.org/nextbus.asp?s=2446,,,KAMEHAMEHA HWY + WAIAHOLE BEACH PARK,0,
21.486811,2447,1523,-157.84935,2447,http://hea.thebus.org/nextbus.asp?s=2447,,,KAMEHAMEHA HWY + OPP 48-262,0,
21.476399,2444,1520,-157.842428,2444,http://hea.thebus.org/nextbus.asp?s=2444,,,KAMEHAMEHA HWY + 48-009,0,
21.48199,2445,1521,-157.844924,2445,http://hea.thebus.org/nextbus.asp?s=2445,,,KAMEHAMEHA HWY + OPP WAIAHOLE VALLEY,0,
21.488417,2448,1524,-157.850029,2448,http://hea.thebus.org/nextbus.asp?s=2448,,,KAMEHAMEHA HWY + 48-279,0,
21.49228,2449,1525,-157.850639,2449,http://hea.thebus.org/nextbus.asp?s=2449,,,KAMEHAMEHA HWY + 48-387,0,
21.33334,108,68,-157.850637,108,http://hea.thebus.org/nextbus.asp?s=108,,,ROOKE AVE + WYLLIE ST,0,
21.332255,109,79,-157.849926,109,http://hea.thebus.org/nextbus.asp?s=109,,,WYLLIE ST + OPP HUENE ST,0,
21.33498,102,12,-157.845956,102,http://hea.thebus.org/nextbus.asp?s=102,,,LILIHA ST + 2639,0,
21.335435,103,21,-157.845302,103,http://hea.thebus.org/nextbus.asp?s=103,,,LILIHA ST + HAWAII ST,0,
21.334493,101,7,-157.846653,101,http://hea.thebus.org/nextbus.asp?s=101,,,LILIHA ST + KAUAI ST,0,
21.335518,106,47,-157.847728,106,http://hea.thebus.org/nextbus.asp?s=106,,,ROOKE AVE + KAUAI ST,0,
21.334424,107,57,-157.849183,107,http://hea.thebus.org/nextbus.asp?s=107,,,ROOKE AVE + MAUI ST,0,
21.336365,104,30,-157.84573,104,http://hea.thebus.org/nextbus.asp?s=104,,,HAWAII ST + PUUNUI AVE,0,
21.336272,105,37,-157.846651,105,http://hea.thebus.org/nextbus.asp?s=105,,,ROOKE AVE + HAWAII ST,0,
21.40029,2046,1123,-157.967474,2046,http://hea.thebus.org/nextbus.asp?s=2046,,,WAIMANO HOME RD + WAHINANI ST,0,
21.403393,2047,1124,-157.966141,2047,http://hea.thebus.org/nextbus.asp?s=2047,,,WAIMANO HOME RD + NOELANI ST,0,
21.395555,2044,1121,-157.969503,2044,http://hea.thebus.org/nextbus.asp?s=2044,,,WAIMANO HOME RD + HOOLAULEA ST,0,
21.3979,2045,1122,-157.968517,2045,http://hea.thebus.org/nextbus.asp?s=2045,,,WAIMANO HOME RD + HOOMALU ST,0,
21.390753,2042,1119,-157.951532,2042,http://hea.thebus.org/nextbus.asp?s=2042,,,MOANALUA RD + KAAHUMANU ST,0,
21.395154,2040,1117,-157.952389,2040,http://hea.thebus.org/nextbus.asp?s=2040,,,NOELANI ST + KAAHUMANU ST,0,
21.393589,2041,1118,-157.95287,2041,http://hea.thebus.org/nextbus.asp?s=2041,,,KAAHUMANU ST + NOELANI ST,0,
21.527053,2188,1277,-158.039142,2188,http://hea.thebus.org/nextbus.asp?s=2188,,,KAMEHAMEHA HWY + DOLE & HELEMANO PLANTATIONS,0,
21.293787,3691,2801,-157.709445,3691,http://hea.thebus.org/nextbus.asp?s=3691,,,HAWAII KAI DR + KUMUKAHI PL,0,
21.404593,2048,1125,-157.965618,2048,http://hea.thebus.org/nextbus.asp?s=2048,,,WAIMANO HOME RD + HOOMAEMAE ST,0,
21.409369,2049,1126,-157.963563,2049,http://hea.thebus.org/nextbus.asp?s=2049,,,WAIMANO HOME RD + OPP KUAHAKA ST,0,
21.349774,2838,1948,-157.918901,2838,http://hea.thebus.org/nextbus.asp?s=2838,,,ALA ALOALO ST + PUUKU MAUKA DR,0,
21.354497,2834,1944,-157.922023,2834,http://hea.thebus.org/nextbus.asp?s=2834,,,WANAKA ST + MIKO ST,0,
21.455037,2688,1786,-158.173703,2688,http://hea.thebus.org/nextbus.asp?s=2688,,,WAIANAE VALLEY RD + 85-850,0,
