"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"Antelope Valley Line","AVL-MTWTF-20190408","294300165-20190408","L.A. Union Station","208","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294300166-20190408","L.A. Union Station","210","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294300167-20190408","L.A. Union Station","212","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294300168-20190408","L.A. Union Station","214","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294300169-20190408","L.A. Union Station","216","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294300170-20190408","L.A. Union Station","218","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294300171-20190408","L.A. Union Station","220","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294300172-20190408","L.A. Union Station","222","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294301001-20190408","L.A. Union Station","282","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294400173-20190408","Lancaster","201","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294400174-20190408","Via Princessa","203","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294400175-20190408","Lancaster","205","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294400181-20190408","Via Princessa","207","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294400182-20190408","Lancaster","209","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294400183-20190408","Via Princessa","211","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294400184-20190408","Via Princessa","213","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294400185-20190408","Lancaster","215","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294400186-20190408","Santa Clarita","217","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294400187-20190408","Lancaster","219","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294400188-20190408","Lancaster","221","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294400189-20190408","Lancaster","223","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294401002-20190408","Palmdale","285","0"
"Antelope Valley Line","AVL-SaSu-20190408","294500201-20190408","L.A. Union Station","260","1"
"Antelope Valley Line","AVL-SaSu-20190408","294500203-20190408","L.A. Union Station","262","1"
"Antelope Valley Line","AVL-SaSu-20190408","294500721-20190408","L.A. Union Station","264","1"
"Antelope Valley Line","AVL-SaSu-20190408","294500741-20190408","L.A. Union Station","266","1"
"Antelope Valley Line","AVL-SaSu-20190408","294500743-20190408","L.A. Union Station","268","1"
"Antelope Valley Line","AVL-SaSu-20190408","294500781-20190408","L.A. Union Station","270","1"
"Antelope Valley Line","AVL-SaSu-20190408","294600204-20190408","Lancaster","263","0"
"Antelope Valley Line","AVL-SaSu-20190408","294600206-20190408","Lancaster","265","0"
"Antelope Valley Line","AVL-SaSu-20190408","294600701-20190408","Lancaster","261","0"
"Antelope Valley Line","AVL-SaSu-20190408","294600742-20190408","Lancaster","267","0"
"Antelope Valley Line","AVL-SaSu-20190408","294600744-20190408","Lancaster","269","0"
"Antelope Valley Line","AVL-SaSu-20190408","294600746-20190408","Lancaster","271","0"
"Ventura County Line","VCL-MTWTF-20190408","294900321-20190408","L.A. Union Station","900","1"
"Ventura County Line","VCL-MTWTF-20190408","294900322-20190408","L.A. Union Station","902","1"
"Ventura County Line","VCL-MTWTF-20190408","294900324-20190408","L.A. Union Station","904","1"
"Ventura County Line","VCL-MTWTF-20190408","294900361-20190408","L.A. Union Station","906","1"
"Ventura County Line","VCL-MTWTF-20190408","294900362-20190408","L.A. Union Station","908","1"
"Ventura County Line","VCL-MTWTF-20190408","294900364-20190408","L.A. Union Station","910","1"
"Ventura County Line","VCL-MTWTF-20190408","295000381-20190408","Burbank Airport - South (VC Line)","901","0"
"Ventura County Line","VCL-MTWTF-20190408","295000382-20190408","Burbank Airport - South (VC Line)","903","0"
"Ventura County Line","VCL-MTWTF-20190408","295000383-20190408","Burbank Airport - South (VC Line)","905","0"
"Ventura County Line","VCL-MTWTF-20190408","295000384-20190408","Burbank Airport - South (VC Line)","907","0"
